Ambulance Service Coverage Area,Reporting Year,Population Estimate,Land Area (km2),Population Density (Per km2),Average Response Time
Brant,2017,141510,936,151.2,7 min 2 sec 
Bruce,2017,69445,4088,17,10 min 19 sec 
Chatham-Kent,2017,105943,2471,42.9,7 min 6 sec 
Chippewas of Rama First Nation,2017,931,11,87,4 min 12 sec 
Cochrane,2017,76411,140545,0.5,5 min 58 sec 
Cornwall,2017,115245,3309,34.8,7 min 54 sec 
Dufferin,2017,65614,1486,44.1,6 min 23 sec 
Durham,2017,682378,2524,270.4,6 min 5 sec 
Elgin,2017,92428,1881,49.1,6 min 36 sec 
Essex,2017,412259,1851,222.7,6 min 25 sec 
Frontenac,2017,161893,3788,42.7,7 min 1 sec 
Grey,2017,97231,4513,21.5,7 min 13 sec 
Wellington,2017,231260,2660,86.9,6 min 49 sec 
Haldimand,2017,46530,1257,37,7 min 53 sec 
Haliburton,2017,18543,4072,4.6,12 min 50 sec 
Halton,2017,581387,964,603.1,6 min 25 sec 
Hamilton,2017,567993,1117,508.4,6 min 37 sec 
Hastings,2017,140504,6103,23,8 min 15 sec 
Huron,2017,59344,3400,17.5,8 min 13 sec 
Kawartha Lakes,2017,77661,3083,25.2,8 min 27 sec 
Kenora,2017,67551,406833,0.2,12 min 1 sec 
Lambton (Urban),2017,130447,3002,43.5,6 min 15 sec 
Lanark,2017,69281,3034,22.8,7 min 42 sec 
Leeds and Grenville,2017,101823,3384,30.1,9 min 1 sec 
Lennox and Addington,2017,43986,2841,15.5,9 min 35 sec 
Manitoulin-Sudbury,2017,33280,43313,0.8,11 min 59 sec 
Middlesex,2017,483109,3295,146.6,5 min 57 sec 
Muskoka,2017,64027,3938,16.3,9 min 2 sec 
Naotkamegwanning First Nations (Whitefish Bay),2017,704,19,37.5,7 min 41 sec 
Niagara,2017,458986,1854,247.5,6 min 36 sec 
Nipissing,2017,87651,17104,5.1,7 min 31 sec 
Norfolk,2017,66184,1608,41.2,6 min 47 sec 
Northumberland,2017,87900,1905,46.1,7 min 58 sec 
Oneida Nation of the Thames,2017,1365,22,61.6,6 min 13 sec 
Ottawa,2017,994837,2790,356.5,6 min 37 sec 
Oxford,2017,114270,2040,56,6 min 35 sec 
Parry Sound,2017,43279,9323,4.6,11 min 41 sec 
Peel,2017,1500633,1247,1203.5,7 min 3 sec 
Perth,2017,79037,2218,35.6,6 min 56 sec 
Peterborough,2017,143801,3848,37.4,7 min 2 sec 
Prescott and Russell,2017,90419,2004,45.1,8 min 6 sec 
Prince Edward,2017,25491,1050,24.3,10 min 33 sec 
Rainy River ,2017,19973,15485,1.3,11 min 8 sec 
Renfrew,2017,105382,7441,14.2,8 min 49 sec 
Sault Ste. Marie,2017,74744,223,334.8,5 min 39 sec 
Simcoe,2017,504501,4796,105.2,7 min 39 sec 
Six Nations of the Grand River,2017,7641,188,40.7,7 min 45 sec 
Sudbury,2017,165030,3238,51,5 min 49 sec 
District of Thunder Bay,2017,148100,103720,1.4,7 min 3 sec 
Timiskaming (Urban),2017,32501,13300,2.4,7 min 54 sec 
Toronto,2017,2929886,630,4649,7 min 2 sec 
Waterloo,2017,559714,1369,408.9,6 min 31 sec 
Weeneebayko Area Health Authority,2017,17500,15000,1.2,5 min 32 sec
York,2017,1164186,1762,660.7,6 min 52 sec 
Algoma,2016,41266,48587,0.8,7 min 41 sec 
Beausoleil First Nation,2016,1370,52,26.3,6 min 14 sec 
Brant,2016,139567,936,149.1,7 min 2 sec 
Bruce,2016,68916,4088,16.9,10 min 9 sec 
Chatham-Kent,2016,105269,2471,42.6,6 min 54 sec 
Chippewas of Rama First Nation,2016,914,11,83.1,4 min 31 sec
Cochrane,2016,76925,140545,0.5,5 min 58 sec 
Cornwall,2016,115595,3309,34.9,7 min 47 sec 
Dufferin,2016,64174,1486,43.2,6 min 2 sec 
Durham,2016,671839,2524,266.2,6 min 1 sec 
Elgin,2016,91173,1881,48.5,6 min 32 sec 
Essex,2016,407985,1851,220.4,6 min 12 sec 
Frontenac,2016,159558,3788,42.1,7 min
Grey,2016,95586,4513,21.2,7 min 3 sec 
Wellington,2016,226096,2660,85,6 min 45 sec
Haldimand,2016,46058,1257,36.6,7 min 23 sec 
Haliburton,2016,18073,4072,4.4,12 min 17 sec 
Halton,2016,569591,964,590.9,6 min 26 sec 
Hamilton,2016,561022,1117,502.3,6 min 23 sec 
Hastings,2016,138659,6103,22.7,8 min 1 sec 
Huron,2016,59251,3400,17.4,8 min 11 sec 
Kawartha Lakes,2016,76519,3083,24.8,8 min 13 sec 
Kenora,2016,67261,406833,0.2,11 min 5 sec 
Lambton (Rural),2016,,,,No data available
Lambton (Urban),2016,129663,3002,43.2,6 min 4 sec 
Lanark,2016,68253,3034,22.5,7 min 47 sec 
Leeds and Grenville,2016,101097,3384,29.9,9 min 16 sec 
Lennox and Addington,2016,44032,2841,15.5,9 min 40 sec 
Manitoulin-Sudbury,2016,34050,43313,0.8,11 min 46 sec 
Middlesex,2016,474534,3295,144,5 min 52 sec 
Muskoka,2016,62500,3938,15.9,8 min 41 sec 
Naotkamegwanning First Nations (Whitefish Bay),2016,705,19,37.1,5 min 54 sec 
Niagara,2016,453817,1854,244.8,6 min 35 sec
Nipissing,2016,87611,17104,5.1,7 min
Norfolk,2016,65343,1608,40.6,6 min 18 sec 
Northumberland,2016,87025,1905,45.7,8 min 7 sec 
Oneida Nation of the Thames,2016,1347,22,61.2,6 min 31 sec 
Ottawa,2016,973481,2790,348.9,6 min 26 sec 
Oxford,2016,112292,2040,55,6 min 20 sec 
Parry Sound,2016,42699,9323,4.6,11 min 7 sec
Peel,2016,1471613,1247,1180.1,6 min 58 sec 
Perth,2016,78702,2218,35.5,6 min 40 sec 
Peterborough,2016,141357,3848,36.7,7 min 13 sec 
Prescott and Russell,2016,90387,2004,45.1,7 min 51 sec 
Prince Edward,2016,25179,1050,24,10 min 25 sec
Rainy River ,2016,19692,15485,1.3,10 min 3 sec 
Renfrew,2016,105112,7441,14.1,8 min 53 sec 
Sault Ste. Marie,2016,74935,223,336,5 min 35 sec 
Simcoe,2016,492263,4796,102.6,7 min 27 sec
Six Nations of the Grand River,2016,7543,188,40.1,7 min 55 sec 
Sudbury,2016,165258,3238,51,5 min 49 sec 
District of Thunder Bay,2016,147929,103720,1.4,6 min 43 sec 
Timiskaming (Urban),2016,32605,13300,2.5,8 min 27 sec 
Toronto,2016,2876095,630,4565.2,7 min 11 sec
Waterloo,2016,548936,1369,401,6 min 35 sec 
Weeneebayko Area Health Authority,2016,17500,15000,1.2,5 min 41 sec
York,2016,1157704,1762,657,6 min 50 sec 
Algoma,2015,41404,48587,0.9,7 min 58 sec 
Beausoleil First Nation,2015,1361,52,26.2,No data available
Brant,2015,138101,936,147.5,7 min 1 sec 
Bruce,2015,68559,4088,16.8,10 min 30 sec
Chatham-Kent,2015,105481,2471,42.7,6 min 48 sec 
Chippewas of Rama First Nation,2015,909,11,82.6,4 min 5 sec 
Cochrane,2015,77575,140545,0.6,5 min 39 sec 
Cornwall,2015,76009,3083,24.7,7 min 56 sec 
Dufferin,2015,62430,1486,42,6 min 17 sec 
Durham,2015,661759,2524,262.2,6 min 0 sec 
Elgin,2015,90671,1881,48.2,6 min 24 sec 
Essex,2015,404403,1851,218.5,6 min 6 sec 
Frontenac,2015,157861,3788,41.7,7 min 6 sec 
Grey,2015,95333,4513,21.1,6 min 51 sec 
Wellington,2015,223245,2660,83.9,7 min 2 sec 
Haldimand,2015,45932,1257,36.5,7 min 23 sec 
Haliburton,2015,17951,4072,4.4,11 min 40 sec 
Halton,2015,558587,964,579.4,6 min 22 sec 
Hamilton,2015,554996,1117,496.9,6 min 29 sec 
Hastings,2015,138223,6103,22.6,7 min 59 sec 
Huron,2015,59224,3400,17.4,8 min 26 sec 
Kawartha Lakes,2015,76009,3083,24.7,7 min 51 sec 
